corresponding_ID,alias_name,real_name,start,end,extra,links
,postmaster general,William Eden,1798,1804,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
,postmaster general,James Graham,1804,1806,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
6729,postmaster general,John Joshua Proby,1806,1807,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
6719,postmaster general,Thomas Pelham,1807,1823,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
857,postmaster general,Frederick Montagu,1826,1827,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
,postmaster general,William Montagu,1827,1830/11/15,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
6505,postmaster general,Charles Gordon-Lennox,1830/12/11,1834/07/05,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
2121,postmaster general,Francis Nathaniel Conyngham,1834/07/05,1834/11/14,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
1023,postmaster general,William Wellesley-Pole,1834/11/14,1835/04/30,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
2121,postmaster general,Francis Nathaniel Conyngham,1835/04/30,1835/05/22,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
2047,postmaster general,Thomas William Anson,1835/05/22,1841/08/30,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
1652,postmaster general,William Lowther,1841/09/09,1845/12/30,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
2454,postmaster general,Edward Granville Eliot,1845/12/30,1846/07/07,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
6473,postmaster general,Ulick John de Burgh,1846/07/07,1852/02/21,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
2818,postmaster general,Charles Philip Yorke,1852/03/01,1852/12/17,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
3437,postmaster general,Charles John Canning,1853/01/05,1855/01/30,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
6592,postmaster general,George John Douglas Campbell,1855/11/30,1858/02/21,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
6452,postmaster general,Charles Abbot,1858/03/13,1859/06/11,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
6591,postmaster general,James Bruce,1859/06/11,1860,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
2738,postmaster general,Edward John Stanley,1860,1866/07/19,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
2365,postmaster general,James Graham,1866/07/19,1868/12/01,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
4497,postmaster general,Spencer Compton Cavendish,1868/12/09,1871/01/14,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
3977,postmaster general,William Monsell,1871/01/14,1873/11/18,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
5236,postmaster general,Lyon Playfair,1873/11/18,1874/02/17,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
3706,postmaster general,John James Robert Manners,1874/02/17,1880/05/03,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
4822,postmaster general,Henry Fawcett,1880/05/03,1884/11/06,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
4783,postmaster general,George John Shaw-Lefevre,1884/11/07,1885/06/09,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
3706,postmaster general,John James Robert Manners,1885/06/09,1886/02/17,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
4541,postmaster general,George Grenfell Glyn,1886/02/17,1886/07/20,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
5073,postmaster general,Henry Cecil Raikes,1886/08/19,1891/08/24,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
4369,postmaster general,James Fergusson,1891/08/24,1892/08/18,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
5837,postmaster general,Arnold Morley,1892/08/18,1895/06/21,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
,postmaster general,Henry Fitzalan-Howard,1895/07/06,1900/04/10,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
5600,postmaster general,Charles Vane-Tempest-Stewart,1900/04/10,1902/08/08,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
7689,postmaster general,Joseph Austen Chamberlain,1902/08/11,1903/10/09,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
2933,postmaster general,Edward Stanley,1903/10/09,1905/12/10,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
5880,postmaster general,Sydney Charles Buxton,1905/12/10,1910/02/14,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
8060,postmaster general,Herbert Louis Samuel,1910/02/14,1914/02/11,,https://en.wikipedia.org/wiki/Postmaster_General_of_the_United_Kingdom
